"exposure","crop","crop_label","specification","cutoff_km","estimate","standard_error","p_value","vcov_fixed","vcov_warning","observations"
"Mean salinity","cassava","Cassava","Spec. 1",300,-0.0136789119789409,0.0119475730138048,0.252248787767159,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 2",50,-0.013794289100765,0.0115054878292614,0.230557686785936,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 2",100,-0.013794289100765,0.0125487604957253,0.271659614233621,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 2",200,-0.013794289100765,0.0131796423187901,0.295270141075718,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 2",250,-0.013794289100765,0.0123992507299241,0.265921816312417,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 2",300,-0.013794289100765,0.0119080067386282,0.246701921142885,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 3",50,-0.0134237695213363,0.0115352839718163,0.244542947570984,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 3",100,-0.0134237695213363,0.0125801561807922,0.285947904267199,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 3",200,-0.0134237695213363,0.0128969573594354,0.297948867517969,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 3",250,-0.0134237695213363,0.0123997400885545,0.278995548815896,FALSE,"",94296
"Mean salinity","cassava","Cassava","Spec. 3",300,-0.0134237695213363,0.0119037740925101,0.259453643679804,FALSE,"",94296
"Mean salinity","beans","Beans","Spec. 1",50,-0.0238929183045264,0.0134469857978337,0.0756002790766182,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 1",100,-0.0238929183045264,0.0151243915598577,0.114164785873376,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 1",200,-0.0238929183045264,0.0137634125459132,0.0825715446553373,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 1",250,-0.0238929183045264,0.0136659940853653,0.0804067228476899,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 1",300,-0.0238929183045264,0.0125297195913547,0.0565363765692452,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 2",50,-0.0246670354095862,0.0136575181305177,0.0709034630592837,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 2",100,-0.0246670354095862,0.0154735137676203,0.110906493692358,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 2",200,-0.0246670354095862,0.0133778163230354,0.0652040920062246,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 2",250,-0.0246670354095862,0.0128723599713802,0.0553323519581749,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 2",300,-0.0246670354095862,0.0112714876577418,0.028639426019333,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 3",50,-0.0199557520435584,0.0127546566510648,0.11768320116447,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 3",100,-0.0199557520435584,0.0142494275405808,0.161378671721456,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 3",200,-0.0199557520435584,0.0122965250371522,0.104618705248906,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 3",250,-0.0199557520435584,0.0123365797222437,0.105750151126197,FALSE,"",102376
"Mean salinity","beans","Beans","Spec. 3",300,-0.0199557520435584,0.011866622775263,0.0926357603811201,FALSE,"",102376
"Mean salinity","soy","Soybeans","Spec. 1",50,-0.0696956455225168,0.0179390214817064,0.000102466504968282,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 1",100,-0.0696956455225168,0.0205957364622578,0.000715239089771341,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 1",200,-0.0696956455225168,0.0182872871106659,0.000138567278869561,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 1",250,-0.0696956455225168,0.0159671954178864,1.27545197403068e-05,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 1",300,-0.0696956455225168,0.00992157655845696,2.18684268539191e-12,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 2",50,-0.0651897559900737,0.0182507574074992,0.000354906239482701,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 2",100,-0.0651897559900737,0.0203713380610361,0.00137520990040329,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 2",200,-0.0651897559900737,0.0165202816668454,7.96149056852618e-05,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 2",250,-0.0651897559900737,0.0126422076065766,2.53013968968378e-07,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Mean salinity","soy","Soybeans","Spec. 2",300,-0.0651897559900737,0.0021789563044769,4.13568185925813e-194,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Mean salinity","soy","Soybeans","Spec. 3",50,-0.0422049841125638,0.0160405106423406,0.00851354870513738,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 3",100,-0.0422049841125638,0.0193571018722176,0.0292395022645892,FALSE,"",33563
"Mean salinity","soy","Soybeans","Spec. 3",200,-0.0422049841125638,0.0184710631494661,0.0223234742969669,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Mean salinity","soy","Soybeans","Spec. 3",250,-0.0422049841125638,0.0165467337646474,0.0107565216053386,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Mean salinity","soy","Soybeans","Spec. 3",300,-0.0422049841125638,0.00994646320910723,2.2093126319924e-05,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Mean salinity","sugarcane","Sugarcane","Spec. 1",50,-0.00388021183867598,0.0217876910502215,0.858651406393605,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 1",100,-0.00388021183867598,0.0215619623458609,0.857187473225244,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 1",200,-0.00388021183867598,0.00982218032167313,0.692810485418983,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 1",250,-0.00388021183867598,0.0161468479662403,0.810092579321963,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 1",300,-0.00388021183867598,0.0126042529406758,0.758198028744393,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 2",50,-0.00653746270731712,0.021138581096694,0.757119646510314,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 2",100,-0.00653746270731712,0.0198056095401838,0.741339674256569,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 2",200,-0.00653746270731712,0.0094927095628463,0.491025865792727,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 2",250,-0.00653746270731712,0.0161866190380157,0.686301954919057,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 2",300,-0.00653746270731712,0.0115916744645018,0.572770505654758,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 3",50,-0.00849731265238338,0.0204076775694474,0.677134799301145,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 3",100,-0.00849731265238338,0.0192857299441268,0.65950349480127,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 3",200,-0.00849731265238338,0.00984742701437063,0.388197816915329,FALSE,"",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 3",250,-0.00849731265238338,0.015700871316116,0.588371770820814,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",57962
"Mean salinity","sugarcane","Sugarcane","Spec. 3",300,-0.00849731265238338,0.0113021222089121,0.452154325191594,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",57962
