"year","total","corn","rice","cassava","beans","soy","sugarcane","total_crop_value_current_thousand","value_unit","corn_value_current_thousand","rice_value_current_thousand","cassava_value_current_thousand","beans_value_current_thousand","soy_value_current_thousand","sugarcane_value_current_thousand","selected_value_current_thousand","selected_value_share_pct","corn_value_share_pct","rice_value_share_pct","cassava_value_share_pct","beans_value_share_pct","soy_value_share_pct","sugarcane_value_share_pct","selected_area_ha","selected_share_pct","total_area_mha","selected_area_mha","corn_area_share_pct","corn_area_mha","rice_area_share_pct","rice_area_mha","cassava_area_share_pct","cassava_area_mha","beans_area_share_pct","beans_area_mha","soy_area_share_pct","soy_area_mha","sugarcane_area_share_pct","sugarcane_area_mha","mean_selected_share_pct","mean_selected_value_share_pct"
2008,59032241,14747249,2869285,2008539,3967518,21252721,8210877,148792073,"Mil Reais",20746305,6998506,5610590,7161004,39077161,20650551,100244117,67.3719472945309,13.9431520656346,4.70354761439475,3.77075867475816,4.81275907756188,26.2629320313321,13.8787978308495,53056189,89.8766302976707,59.032241,53.056189,24.9816858553617,14.747249,4.860538836735,2.869285,3.40244409830215,2.008539,6.72093407397493,3.967518,36.0018875109281,21.252721,13.9091399223689,8.210877,89.9525015316886,63.1653178700625
2009,59431710,14144321,2905202,1796966,4277674,21761782,8845833,141449881,"Mil Reais",15032484,7070978,5575307,4436430,37988045,24634948,94738192,66.9765088031428,10.6274278166413,4.99892820694561,3.9415423757055,3.13639712429309,26.8561873162693,17.416025963288,53731778,90.4092747794065,59.43171,53.731778,23.7992832445844,14.144321,4.88830289419571,2.905202,3.02358118250341,1.796966,7.1976290098333,4.277674,36.6164493668447,21.761782,14.8840290814449,8.845833,89.9525015316886,63.1653178700625
2010,59059599,12963080,2778173,1817055,3655538,23339094,9164756,154180580,"Mil Reais",15181295,6242879,7003761,4944932,37332815,28309289,99014971,64.2201313550643,9.84643785877573,4.04906960396699,4.54257014729092,3.20723401092407,24.2136947467703,18.3611249873363,53717696,90.9550638838574,59.059599,53.717696,21.9491500441783,12.96308,4.70401602286531,2.778173,3.0766463551505,1.817055,6.18957470402059,3.655538,39.5178673664886,23.339094,15.5178093911542,9.164756,89.9525015316886,63.1653178700625
2011,61841033,13605369,2855312,1756686,3907926,24032410,9616615,195494942,"Mil Reais",22229336,5889804,7133063,5148770,50369438,39224254,129994665,66.4951551534259,11.3707985345217,3.01276541466735,3.6487199755787,2.63371008340461,25.7650850117647,20.0640761334889,55774318,90.1898226700062,61.841033,55.774318,22.0005526104326,13.605369,4.61718031133147,2.855312,2.84064789150595,1.756686,6.31930905811357,3.907926,38.861592108269,24.03241,15.5505406903536,9.616615,89.9525015316886,63.1653178700625
2012,63030377,15065288,2443182,1757734,3182815,25090559,9777659,204056693,"Mil Reais",26824867,6290787,7885089,6216876,50465629,40552332,138235580,67.7437127729988,13.145791302224,3.0828623690378,3.86416582768006,3.0466415526983,24.7311804665971,19.8730712547615,57317237,90.9358942910971,63.030377,57.317237,23.9016307962112,15.065288,3.87619766259688,2.443182,2.78870932344257,1.757734,5.04965248740302,3.182815,39.8070901590831,25.090559,15.5126138623604,9.777659,89.9525015316886,63.1653178700625
2013,66412304,15711617,2386821,1560263,3044329,27948605,10223043,232469272,"Mil Reais",26723097,7545033,10130512,6945595,68934363,42946610,163225210,70.2136710782146,11.4953244229199,3.24560443412065,4.35778540227889,2.98774755916988,29.6531074438087,18.4741018159166,60874678,91.6617468955752,66.412304,60.874678,23.6576899967211,15.711617,3.59394397760993,2.386821,2.34935833576862,1.560263,4.58398341367588,3.044329,42.0834744718388,27.948605,15.3932966999609,10.223043,89.9525015316886,63.1653178700625
2014,70398423,15843121,2347460,1592907,3401466,30308231,10454280,251317340,"Mil Reais",25998864,8365685,9555735,5173995,84390011,42128487,175612777,69.8769042358955,10.3450338922097,3.3287337037707,3.80225853098716,2.05874970664579,33.5790642221504,16.7630641801318,63947465,90.8365021188046,70.398423,63.947465,22.5049373620202,15.843121,3.33453492274962,2.34746,2.2627026744619,1.592907,4.83173607454246,3.401466,43.0524288875051,30.308231,14.8501621975254,10.45428,89.9525015316886,63.1653178700625
2015,71031304,15848557,2162178,1536161,3130125,32206387,10179827,268736965,"Mil Reais",29770753,8662295,8234091,6031840,90354971,43631303,186685253,69.4676495286013,11.0780267984347,3.22333587416975,3.06399642490567,2.24451444556576,33.6220850748984,16.2356909106271,65063235,91.5979734794113,71.031304,65.063235,22.3120738428229,15.848557,3.04397903211801,2.162178,2.16265352526824,1.536161,4.40668384744844,3.130125,45.341117488143,32.206387,14.3314657436107,10.179827,89.9525015316886,63.1653178700625
2016,71432966,16051087,2004643,1429195,2950103,33339305,10242703,320146193,"Mil Reais",37693016,8725929,10397959,9754040,105017264,51598386,223186594,69.7139615837943,11.7736886535459,2.72560761014578,3.2478783841106,3.04674558475852,32.8029088885652,16.1171324626684,66017036,92.4181644648495,71.432966,66.017036,22.4701393471468,16.051087,2.80632754350421,2.004643,2.00074990586279,1.429195,4.12989011264071,2.950103,46.6721555423024,33.339305,14.3389020133925,10.242703,89.9525015316886,63.1653178700625
2017,73644898,17739683,2010772,1278109,3075238,34004361,10233258,317138731,"Mil Reais",33001411,9756866,11002098,6962922,112305292,53862323,226890912,71.5431102611053,10.4059857009392,3.07652930603421,3.46917513521866,2.19554451077122,35.4120392819507,16.9838363261913,68341421,92.7985819194155,73.644898,68.341421,24.0881357456697,17.739683,2.73036157915515,2.010772,1.73550243765698,1.278109,4.17576516977456,3.075238,46.1734104105895,34.004361,13.8954065765696,10.233258,89.9525015316886,63.1653178700625
2018,73274337,16548228,1876326,1232624,2949494,34838351,10045644,343454922,"Mil Reais",37678190,8691890,9954056,5588931,127895812,52024888,241833767,70.4120836562069,10.9703450399235,2.53072221221509,2.89821323335119,1.62726769715648,37.2380198412181,15.1475156323426,67490667,92.1068272511289,73.274337,67.490667,22.5839341268963,16.548228,2.56068642422517,1.876326,1.68220423475138,1.232624,4.02527558864163,2.949494,47.5450920831941,34.838351,13.7096347934202,10.045644,89.9525015316886,63.1653178700625
